,Player_ID,Name,Screen_name,ID,Bio,Url,Posts,Followers,Friends
0,2,Aaron Brooks,Thirty2zero,37692305,MVW,,2645,66573,350
1,3,Aaron Gordon,Double0AG,614024492,Love The Game.,,2151,150028,498
2,4,Adreian Payne,Adreian_Payne,380051568,"The don’t care how you get it done, only results!!! 杀手佩恩",,1472,62734,141
3,5,Al Horford,Al_Horford,78193153,Official Twitter Page of Boston Celtics star Forward/Center Al Horford,https://t.co/fACM4wz6K2,4353,336830,271
4,6,Al Jefferson,Aljefferson25,466852270,Pro NBA Basketball Player,http://t.co/npptRW39kv,8,1651,273
5,7,Alan Anderson,ASqared06,1067020626,Professional Basketball Player for the Los Angeles Clippers/Activist/Father/and just all around good brotha!!,,209,11091,179
6,8,Alec Burks,AlecBurks10,135323628,,,161,56827,434
7,9,Alex Kirk,kingkirk53,1334787901,"... Lobo Alum. Pro hooper. Love my Family, Friends, and teammates. Never Stop Dreaming #someday #AK53 @AK53Foundation @AksGymsofWorld",https://t.co/Y8P2839CtM,4763,15227,647
8,10,Alex Len,alexlen,1538825629,"Atlanta @ATLHawks Center | #TrueToAtlanta

Business Inquries: @mike_sig",https://t.co/4uUJd95PtY,370,16663,143
9,11,Alexey Shved,Shved23,416120361,The only official twitter of Russian PG,,121,5195,12
10,12,Alexis Ajinca,AjincaAlexis42,855247687,Official Twitter of Alexis / Twitter officiel de Alexis Ajinça French Basketball Player / NBA player / Updates added by Alexis and his team,https://t.co/syrDuDLSCK,11317,60436,203
11,13,Al-Farouq Aminu,farouq1,76809678,,http://t.co/ZgbWJXzpOa,6835,82860,64428
12,14,Allen Crabbe,allencrabbe,373677327,NBA player for the Brooklyn Nets,,5327,34215,407
13,15,Alonzo Gee,GeeAlonzo,232438705,Alonzo Gee,,2019,29538,270
14,16,Amar'e Stoudemire,Amareisreal,25100180,"Official page of 6x NBA All-Star , 5x All-NBA Amar'e Stoudemire - Follow me on Instagram @amareisreal",https://t.co/4KUG10Wm1B,4006,1114265,1
15,17,Amir Johnson,IamAmirJohnson,130939593,the real amir johnson,https://t.co/dzZE7ZBUYV,5234,145533,1780
16,18,Anderson Varejao,VAREJAOANDERSON,372525649,Jogador do Flamengo e da Seleção Brasileira / AsCom/PR - @mpcriocom,,2012,167987,318
17,20,Andre Drummond,AndreDrummond,244800486,SC👻: andredrummondd,https://t.co/mx6IAUdePa,20142,839510,1784
18,21,Andre Iguodala,andre,331283041,🔺 Nm #GG33,https://t.co/cqoW91BADF,7213,1314437,475
19,23,Andre Roberson,FlyDre21,165152266,Thunder #21 Humble and Hungry!!!,,10449,61522,455
20,24,Andrea Bargnani,AndreaBargnanee,757288256849514496,NBA Player who left the league because was too good and didn't want to embarrass others. @Baskonia player (not for long). Way too good to be the true one,,528,267,148
21,25,Andrei Kirilenko,AndrKirilenko,620474224,Fantasy Andrei Kirilenko News from news sources all around the world,,7227,2764,3273
22,26,Andrew Bogut,andrewbogut,1036325418,,,8027,381472,1096
23,27,Andrew Nicholson,nicholaf44,439779382,#44...St. Bonaventure Alum '12 Bachelor of Science in Physics...Check out @44hoopcamp for camp details https://t.co/cvw6SRt2fL,https://t.co/cvw6SRt2fL,2684,21285,243
24,28,Andrew Wiggins,22wiggins,231209225,3 dreams #Onegoal ////jayhawk ///NBA // Snapchat: wiggins22,,1291,515401,405
25,30,Anthony Davis,AntDavis23,159113258,Forward for the New Orleans Pelicans! #23 IG: AntDavis23,https://t.co/WNht2Pf5N7,4915,1561925,348
27,31,Anthony Morrow,MrAnthonyMorrow,82302496,"Blessed&HIGHLY favored, Dad of 4 leaders. HipHop Connoisseur, IG:Yungfresh. West Boulevard Charlotte, NC. Carolina Panther fan✊🏾 Owner of Ownsenseofstyle ✊🏾🔥",https://t.co/DfENkJwjD3,24670,100702,6690
28,32,Anthony Tolliver,ATolliver44,176326208,POWER FORWARD FOR THE MINNESOTA TIMBERWOLVES... #TEAMIJNIP,https://t.co/wE1vHwAf2Z,13712,39654,370
29,34,Arinze Onuaku,arinze_onuaku,142138363,Taking it one day at a time.. I know God has a plan for me so I try and put him first in everything I do.. #motivation,,2228,5540,490
31,35,Aron Baynes,MrAnthonyMorrow,82302496,"Blessed&HIGHLY favored, Dad of 4 leaders. HipHop Connoisseur, IG:Yungfresh. West Boulevard Charlotte, NC. Carolina Panther fan✊🏾 Owner of Ownsenseofstyle ✊🏾🔥",https://t.co/DfENkJwjD3,24670,100702,6690
32,37,Austin Daye,Adaye5,55075301,Professional Basketball Player / Cali Native  #TMC,https://t.co/fabtUWSHYv,7558,71425,346
33,38,Austin Rivers,AustinRivers25,156521166,Just a dedicated man with big dreams to fulfill. @houstonrockets guard & former Blue Devil. My new podcast #GoOff with @uninterrupted is out! Link⬇️ #MoaM,https://t.co/WidzlO18uI,3598,295736,511
34,39,Avery Bradley,AveryBradleyBR,4537259182,Perfil dedicado ao Avery Bradley e ao Boston Celtics,,11514,896,998
35,41,Ben McLemore,BenMcLemore,364970961,"NBA Guard, I'm truly blessed and staying Humble&Hungry...... It's Ok To Be Great!!!! management e-mail: HA@SultanGroup.TV",https://t.co/9tr7bp1kPz,2539,101162,1466
